Index	Disease
1054	Whooping Cough
1055	Tachycardia
1056	Urinary Bladder, Overactive
1057	Oculocerebrorenal Syndrome
1058	Filariasis
1059	Calculi
1060	Cognition Disorders
1061	Sexual Dysfunctions, Psychological
1062	Pharyngitis
1063	Korsakoff Syndrome
1064	Esotropia
1065	Frostbite
1066	Hypertension, Malignant
1067	Kidney Cortex Necrosis
1068	Polyarteritis Nodosa
1069	HELLP Syndrome
1070	Arrhythmias, Cardiac
1071	Nails, Malformed
1072	Hearing Loss, Unilateral
1073	Dyslexia, Acquired
1074	Sarcopenia
1075	Hemoptysis
1076	Myopathies, Structural, Congenital
1077	Jaundice, Neonatal
1078	Amyotrophic Lateral Sclerosis
1079	Aphasia, Conduction
1080	Reflex, Abnormal
1081	Bulimia Nervosa
1082	Bezoars
1083	Choroideremia
1084	Lupus Erythematosus, Systemic
1085	Facies
1086	Spasm
1087	Hip Injuries
1088	Osteomalacia
1089	Pupil Disorders
1090	Alkalosis, Respiratory
1091	Hepatolenticular Degeneration
1092	Diabetes, Gestational
1093	Deafness
1094	Vitamin B 6 Deficiency
1095	Schizotypal Personality Disorder
1096	AIDS-Associated Nephropathy
1097	Multiple Sclerosis, Chronic Progressive
1098	Facial Hemiatrophy
1099	Head Injuries, Penetrating
1100	Aortic Valve Stenosis
1101	Tuberculoma, Intracranial
1102	Hyperlipoproteinemia Type II
1103	Leukemia, Experimental
1104	Phantom Limb
1105	Hyperacusis
1106	Cysts
1107	Trematode Infections
1108	Acute-Phase Reaction
1109	Neurotoxicity Syndromes
1110	Pulmonary Eosinophilia
1111	Lambert-Eaton Myasthenic Syndrome
1112	Tick-Borne Diseases
1113	Uterine Perforation
1114	Retinal Neovascularization
1115	Hypophosphatemia, Familial
1116	Shock
1117	Wegener Granulomatosis
1118	Blood Platelet Disorders
1119	Tuberous Sclerosis
1120	Abdominal Injuries
1121	Pneumocephalus
1122	Hearing Loss, Sensorineural
1123	Salmonella Infections, Animal
1124	Priapism
1125	Malignant Hyperthermia
1126	Ventricular Septal Rupture
1127	Glomus Jugulare Tumor
1128	Spinal Dysraphism
1129	Wiskott-Aldrich Syndrome
1130	Hypothalamic Neoplasms
1131	Heart Rupture
1132	Neuroectodermal Tumors, Primitive, Peripheral
1133	Laryngismus
1134	Stroke
1135	Choanal Atresia
1136	Skull Base Neoplasms
1137	Placental Insufficiency
1138	Frontal Sinusitis
1139	Ageusia
1140	Heart Arrest
1141	Respiratory Paralysis
1142	Hoarseness
1143	Rib Fractures
1144	Histiocytoma
1145	Avitaminosis
1146	Severe Acute Respiratory Syndrome
1147	CADASIL
1148	Hemangioma
1149	Granulosa Cell Tumor
1150	Morning Sickness
1151	Adams-Stokes Syndrome
1152	Muscle Weakness
1153	Common Bile Duct Neoplasms
1154	Otitis
1155	Myositis Ossificans
1156	Pulmonary Embolism
1157	Carotid Stenosis
1158	Female Urogenital Diseases
1159	Acidosis
1160	Oliguria
1161	Rett Syndrome
1162	Dysmenorrhea
1163	Meningioma
1164	Meningitis, Haemophilus
1165	Puberty, Precocious
1166	Parotitis
1167	Hair Diseases
1168	Nose Neoplasms
1169	Hypochondriasis
1170	Thrombotic Microangiopathies
1171	Shock, Hemorrhagic
1172	Hernia, Abdominal
1173	Dental Pulp Diseases
1174	Paraplegia
1175	Melanoma, Experimental
1176	Acquired Immunodeficiency Syndrome
1177	Stomach Diseases
1178	Hyperandrogenism
1179	Carcinoma, Renal Cell
1180	Encephalitis, Arbovirus
1181	Prosopagnosia
1182	Histiocytosis, Sinus
1183	Hypertrophy, Right Ventricular
1184	Glaucoma, Open-Angle
1185	Sarcoidosis, Pulmonary
1186	Renal Insufficiency, Chronic
1187	Malaria
1188	Pulmonary Alveolar Proteinosis
1189	Q Fever
1190	Abnormalities, Multiple
1191	Intestinal Volvulus
1192	Hypokalemic Periodic Paralysis
1193	Paraneoplastic Cerebellar Degeneration
1194	Paramyxoviridae Infections
1195	Micrognathism
1196	Bronchiolitis
1197	Synovial Cyst
1198	Alopecia
1199	Lymphopenia
1200	Acne Vulgaris
1201	Poisoning
1202	Hypertension, Portal
1203	Graft Occlusion, Vascular
1204	Friedreich Ataxia
1205	Antisocial Personality Disorder
1206	Retrobulbar Hemorrhage
1207	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating
1208	Osteitis Fibrosa Cystica
1209	Paraparesis, Spastic
1210	Encephalomyelitis, Acute Disseminated
1211	Viremia
1212	Neovascularization, Pathologic
1213	Hypertension, Pulmonary
1214	Depression, Postpartum
1215	Tobacco Use Disorder
1216	Respiratory Aspiration
1217	Pain
1218	Sarcoma, Kaposi
1219	Anisometropia
1220	Lung Diseases, Parasitic
1221	Aphasia, Broca
1222	Eye Infections, Fungal
1223	Epilepsy, Tonic-Clonic
1224	Common Cold
1225	Lacerations
1226	Intervertebral Disk Displacement
1227	Hemangioendothelioma
1228	Spinal Cord Diseases
1229	Landau-Kleffner Syndrome
1230	Tennis Elbow
1231	Aortic Aneurysm, Abdominal
1232	Sexual Dysfunction, Physiological
1233	Fusobacterium Infections
1234	Epiphyses, Slipped
1235	Paraganglioma
1236	Genetic Diseases, Inborn
1237	Neurocysticercosis
1238	Respiratory Tract Infections
1239	Bronchiolitis, Viral
1240	Retinal Perforations
1241	Intermittent Claudication
1242	Colonic Diseases, Functional
1243	Heart Valve Diseases
1244	Cecal Diseases
1245	Carotid Artery Thrombosis
1246	Frontotemporal Lobar Degeneration
1247	Hypergammaglobulinemia
1248	Afibrinogenemia
1249	Glucagonoma
1250	Dementia, Vascular
1251	Hematoma, Epidural, Cranial
1252	Tracheal Stenosis
1253	Urologic Neoplasms
1254	Abortion, Septic
1255	Liver Diseases, Alcoholic
1256	Slow Virus Diseases
1257	Subacute Sclerosing Panencephalitis
1258	Torsades de Pointes
1259	Vagus Nerve Diseases
1260	Torticollis
1261	Uterine Diseases
1262	Fallopian Tube Neoplasms
1263	Child Nutrition Disorders
1264	Parotid Diseases
1265	Vestibular Neuronitis
1266	Orofaciodigital Syndromes
1267	Embolism, Cholesterol
1268	Coccidiosis
1269	Premenstrual Syndrome
1270	Sweat Gland Neoplasms
1271	Brain Abscess
1272	Graves Disease
1273	Seasonal Affective Disorder
1274	Hydrothorax
1275	Diabetic Nephropathies
1276	Fallopian Tube Diseases
1277	Asthenopia
1278	Postgastrectomy Syndromes
1279	Exostoses, Multiple Hereditary
1280	Bronchial Neoplasms
1281	Anemia, Hemolytic
1282	Urethral Obstruction
1283	Cholelithiasis
1284	Retinal Hemorrhage
1285	Hypogonadism
1286	Herpes Genitalis
1287	Aortic Rupture
1288	Periodontitis
1289	Acidosis, Respiratory
1290	Melanosis
1291	Abducens Nerve Diseases
1292	Waardenburg's Syndrome
1293	Goiter, Substernal
1294	Extravasation of Diagnostic and Therapeutic Materials
1295	Shoulder Impingement Syndrome
1296	Candidiasis
1297	Carcinoma, Signet Ring Cell
1298	Mixed Connective Tissue Disease
1299	Leukemia, Plasma Cell
1300	Conjunctival Diseases
1301	Foot Dermatoses
1302	Fetofetal Transfusion
1303	Hyperlipoproteinemias
1304	Mitral Valve Prolapse
1305	Paraproteinemias
1306	Tooth Abrasion
1307	Splenic Infarction
1308	Uveal Neoplasms
1309	Malnutrition
1310	Seizures
1311	Birth Injuries
1312	Myopia, Degenerative
1313	Agraphia
1314	Fetal Diseases
1315	Cryptorchidism
1316	Sarcoma, Synovial
1317	Digestive System Abnormalities
1318	Keratitis, Dendritic
1319	Urethral Stricture
1320	Seminoma
1321	Anuria
1322	Hypopigmentation
1323	Blindness
1324	Postpoliomyelitis Syndrome
1325	Bile Duct Neoplasms
1326	Echinococcosis, Pulmonary
1327	Mucopolysaccharidosis III
1328	Dementia, Multi-Infarct
1329	Translocation, Genetic
1330	Chondrosarcoma
1331	Melena
1332	Nocturnal Myoclonus Syndrome
1333	Vitamin D Deficiency
1334	Superior Vena Cava Syndrome
1335	Osteonecrosis
1336	Cystinosis
1337	Bronchial Hyperreactivity
1338	Paranasal Sinus Diseases
1339	Enterobacteriaceae Infections
1340	Esophageal Neoplasms
1341	Status Asthmaticus
1342	Vasculitis, Leukocytoclastic, Cutaneous
1343	Tenosynovitis
1344	Sleep Disorders, Intrinsic
1345	Liver Neoplasms, Experimental
1346	Pigmentation Disorders
1347	Infant Nutrition Disorders
1348	Pericarditis
1349	Parkinson Disease, Secondary
1350	Abruptio Placentae
1351	Cystadenoma, Mucinous
1352	Cytomegalovirus Infections
1353	Endometriosis
1354	Multiple Organ Failure
1355	Heart Block
1356	Esophageal and Gastric Varices
1357	Labyrinth Diseases
1358	Arteriosclerosis Obliterans
1359	Germinoma
1360	Eye Infections, Viral
1361	Urologic Diseases
1362	Aortitis
1363	Splenic Diseases
1364	Pancreatitis, Acute Necrotizing
1365	Muscular Atrophy
1366	Shaken Baby Syndrome
1367	Venous Thrombosis
1368	Accessory Nerve Diseases
1369	Angiomatosis
1370	Choline Deficiency
1371	Neck Pain
1372	Hemoglobinuria
1373	Eye Abnormalities
1374	Meniere Disease
1375	Osteoporosis, Postmenopausal
1376	Skin Ulcer
1377	Persian Gulf Syndrome
1378	Hyperpigmentation
1379	Neurocutaneous Syndromes
1380	Vitreous Hemorrhage
1381	Embolism, Paradoxical
1382	Porphyrias
1383	Gigantism
1384	Hyponatremia
1385	Neoplasm Invasiveness
1386	Keloid
1387	Condylomata Acuminata
1388	Dysautonomia, Familial
1389	Sinoatrial Block
1390	Spinal Curvatures
1391	Leydig Cell Tumor
1392	Aphasia, Primary Progressive
1393	Precursor Cell Lymphoblastic Leukemia-Lymphoma
1394	Liver Cirrhosis
1395	Phlebitis
1396	Hemosiderosis
1397	Lassa Fever
1398	Genital Diseases, Female
1399	Fascioliasis
1400	Phenylketonurias
1401	Lymphadenitis
1402	Brain Damage, Chronic
1403	Intracranial Thrombosis
1404	Wolff-Parkinson-White Syndrome
1405	Feeding and Eating Disorders of Childhood
1406	Abortion, Spontaneous
1407	Cysticercosis
1408	Vulvar Diseases
1409	Solitary Pulmonary Nodule
1410	Pancreatic Pseudocyst
1411	Aneurysm
1412	Akinetic Mutism
1413	Thymus Neoplasms
1414	Endometrial Neoplasms
1415	Fibrous Dysplasia of Bone
1416	Iliac Aneurysm
1417	Central Nervous System Diseases
1418	Esophageal Atresia
1419	Gerstmann Syndrome
1420	Paranoid Disorders
1421	Conduct Disorder
1422	Retinal Degeneration
1423	Hypopituitarism
1424	Pain, Referred
1425	Osteochondroma
1426	Diabetes Mellitus, Type 1
1427	Diabetes Mellitus, Type 2
1428	Angiomyolipoma
1429	Glaucoma, Angle-Closure
1430	Nutrition Disorders
1431	Nevus
1432	Substance Withdrawal Syndrome
1433	Vertebral Artery Dissection
1434	Death, Sudden
1435	Gastritis
1436	Spinal Neoplasms
1437	Carotid Artery Diseases
1438	Hypoparathyroidism
1439	Oropharyngeal Neoplasms
1440	Hyperventilation
1441	Hyperparathyroidism
1442	Glycosuria
1443	Granuloma, Plasma Cell
1444	Esophageal Achalasia
1445	Cartilage Diseases
1446	Hearing Loss, High-Frequency
1447	Airway Obstruction
1448	Colitis, Ischemic
1449	Leg Length Inequality
1450	Gallbladder Diseases
1451	Calcium Metabolism Disorders
1452	Bundle-Branch Block
1453	Vitiligo
1454	Urinary Bladder, Neurogenic
1455	Respiratory Distress Syndrome, Newborn
1456	Anemia, Megaloblastic
1457	Hyperhomocysteinemia
1458	Amnesia
1459	Hookworm Infections
1460	Hypertensive Encephalopathy
1461	Rhabdomyoma
1462	Hearing Loss, Central
1463	Endocarditis, Subacute Bacterial
1464	Neurologic Manifestations
1465	Skin Diseases
1466	Cataplexy
1467	Hyperhidrosis
1468	Cluster Headache
1469	Overdose
1470	Rheumatic Fever
1471	Coronary Aneurysm
1472	Uveomeningoencephalitic Syndrome
1473	Empyema, Pleural
1474	Pyloric Stenosis
1475	Erysipelas
1476	Vascular Headaches
1477	Nephrocalcinosis
1478	Critical Illness
1479	Chromosome Disorders
1480	Kernicterus
1481	Mycobacterium Infections, Atypical
1482	Brain Stem Neoplasms
1483	Lymphoma, B-Cell
1484	Dentin Sensitivity
1485	Anus Diseases
1486	Choriocarcinoma
1487	Retinitis Pigmentosa
1488	Darier Disease
1489	Lymphedema
1490	Obsessive-Compulsive Disorder
1491	Churg-Strauss Syndrome
1492	Failure to Thrive
1493	Cardiomyopathies
1494	Gastroschisis
1495	Vaccinia
1496	Postoperative Complications
1497	Ovarian Hyperstimulation Syndrome
1498	Peritonitis
1499	Cor Triatriatum
1500	Supranuclear Palsy, Progressive
1501	Malocclusion, Angle Class II
1502	Mucocele
1503	Bone Resorption
1504	Hemobilia
1505	Cerebral Hemorrhage
1506	Polyradiculopathy
1507	Alcoholic Neuropathy
1508	Arm Injuries
1509	Gastroesophageal Reflux
1510	Obstetric Labor, Premature
1511	Malaria, Cerebral
1512	Bulbar Palsy, Progressive
1513	Mediastinal Neoplasms
1514	Cerebral Arterial Diseases
1515	Osteomyelitis
1516	Spondylitis
1517	Wounds, Gunshot
1518	Gram-Positive Bacterial Infections
1519	Hand Deformities, Congenital
1520	Leukocytosis
1521	Cholestasis, Intrahepatic
1522	Vascular Neoplasms
1523	Inappropriate ADH Syndrome
1524	Liver Diseases, Parasitic
1525	Dementia
1526	Porphyria, Acute Intermittent
1527	Duodenogastric Reflux
1528	Hydrocephalus
1529	Motor Neuron Disease
1530	Stereotypic Movement Disorder
1531	Glioblastoma
1532	Crohn Disease
1533	Urinary Bladder Fistula
1534	Aneurysm, Ruptured
1535	Leukodystrophy, Metachromatic
1536	Dystonia Musculorum Deformans
1537	Paranasal Sinus Neoplasms
1538	HTLV-I Infections
1539	Uveitis
1540	Narcolepsy
1541	Mediastinal Emphysema
1542	Hypoglossal Nerve Diseases
1543	Acute Coronary Syndrome
1544	Periapical Periodontitis
1545	Meningitis, Pneumococcal
1546	Angina Pectoris
1547	Idiopathic Pulmonary Fibrosis
1548	Pneumonia, Bacterial
1549	Ganglion Cysts
1550	Tooth Abnormalities
1551	Glycogen Storage Disease Type V
1552	Prostatic Hyperplasia
1553	Cystitis, Interstitial
1554	Papilledema
1555	Glioma
1556	Amino Acid Metabolism, Inborn Errors
1557	Splenosis
1558	Cerebrospinal Fluid Rhinorrhea
1559	Liposarcoma
1560	Hallucinations
1561	Alagille Syndrome
1562	Postoperative Nausea and Vomiting
1563	Papilloma
1564	Ossification, Heterotopic
1565	Diaper Rash
1566	Encephalitis, Japanese
1567	Diabetic Retinopathy
1568	Intestinal Polyps
1569	Delirium
1570	Choroidal Neovascularization
1571	Graves Ophthalmopathy
1572	Enterocolitis, Pseudomembranous
1573	Werner Syndrome
1574	Aortic Stenosis, Subvalvular
1575	Kallmann Syndrome
1576	Lymphoproliferative Disorders
1577	Carcinoma, Pancreatic Ductal
1578	Epilepsy, Benign Neonatal
1579	Foramen Ovale, Patent
1580	Microcephaly
1581	Synkinesis
1582	Shoulder Dislocation
1583	Pancoast Syndrome
1584	Wallerian Degeneration
1585	Back Pain
1586	Apnea
1587	Mobius Syndrome
1588	Tuberculosis, Miliary
1589	Hypertrichosis
1590	Glycogen Storage Disease Type I
1591	Kidney Neoplasms
1592	Acute Kidney Injury
1593	Agoraphobia
1594	Dandy-Walker Syndrome
1595	Ventricular Dysfunction, Right
1596	Spinocerebellar Ataxias
1597	Hemophilia B
1598	Thrombophlebitis
1599	Dyssomnias
1600	Ketosis
1601	Tissue Adhesions
1602	Autoimmune Diseases of the Nervous System
1603	Hemophilia A
1604	Mucormycosis
1605	Abnormalities, Drug-Induced
1606	Rectal Neoplasms
1607	Cell Transformation, Neoplastic
1608	Restless Legs Syndrome
1609	Pneumonia, Viral
1610	Fibrous Dysplasia, Monostotic
1611	Testicular Neoplasms
1612	Echinococcosis
1613	Lymphangitis
1614	Psychoses, Alcoholic
1615	Hyperglycemic Hyperosmolar Nonketotic Coma
1616	Lead Poisoning
1617	Liver Neoplasms
1618	Peptic Ulcer
1619	Scleral Diseases
1620	Tracheoesophageal Fistula
1621	Hypotension, Orthostatic
1622	Syncope
1623	Photophobia
1624	Brachial Plexus Neuropathies
1625	Yersinia Infections
1626	Adrenal Hyperplasia, Congenital
1627	Genital Diseases, Male
1628	Carcinoid Heart Disease
1629	Brain Diseases
1630	Gastritis, Hypertrophic
1631	Pseudopseudohypoparathyroidism
1632	Alcohol Amnestic Disorder
1633	Complex Regional Pain Syndromes
1634	Ureteral Calculi
1635	Pancreatic Diseases
1636	Mononeuropathies
1637	Prostatic Diseases
1638	Cerebral Ventricle Neoplasms
1639	Osteitis Deformans
1640	Spondylolysis
1641	Subdural Effusion
1642	Electric Injuries
1643	Glucosephosphate Dehydrogenase Deficiency
1644	Biliary Fistula
1645	Epilepsy, Generalized
1646	Periapical Diseases
1647	Growth Disorders
1648	Dysentery, Amebic
1649	Pyuria
1650	Presbycusis
1651	Nerve Compression Syndromes
1652	Intracranial Hypotension
1653	Laryngostenosis
1654	Optic Nerve Diseases
1655	Fractures, Compression
1656	Ventricular Premature Complexes
1657	Eye Injuries
1658	Enterocolitis
1659	Nephrosis
1660	Wounds, Nonpenetrating
1661	Meningitis, Meningococcal
1662	Neoplasm Metastasis
1663	Depressive Disorder, Major
1664	Muscular Diseases
1665	Uterine Rupture
1666	Polycythemia Vera
1667	Urinary Bladder Diseases
1668	Thrombocytopenia
1669	Ileitis
1670	Mitochondrial Myopathies
1671	Neurodermatitis
1672	Sick Sinus Syndrome
1673	Gastric Fistula
1674	Fibromuscular Dysplasia
1675	Neurofibromatoses
1676	Burkitt Lymphoma
1677	Movement Disorders
1678	Anemia, Iron-Deficiency
1679	Spinal Cord Injuries
1680	Craniofacial Dysostosis
1681	Trochlear Nerve Diseases
1682	Cheyne-Stokes Respiration
1683	AIDS-Related Complex
1684	Arthrogryposis
1685	Liver Diseases
1686	Mastoiditis
1687	Wound Infection
1688	Encephalitis, Herpes Simplex
1689	Rubella
1690	Arthritis, Reactive
1691	Hypereosinophilic Syndrome
1692	Epilepsy
1693	Ethmoid Sinusitis
1694	Osteochondromatosis
1695	Gonadal Dysgenesis
1696	Paraneoplastic Endocrine Syndromes
1697	Cardiomegaly
1698	Chordoma
1699	MERRF Syndrome
1700	Carcinoma, Small Cell
1701	Lichenoid Eruptions
1702	Torsion Abnormality
1703	Mydriasis
1704	Arteriovenous Malformations
1705	Bursitis
1706	Kidney Papillary Necrosis
1707	Hyperlipidemias
1708	Regurgitation, Gastric
1709	Duodenal Diseases
1710	Tremor
1711	Hearing Loss, Noise-Induced
1712	Tooth Fractures
1713	Substance Abuse, Intravenous
1714	Diaphragmatic Eventration
1715	Hematoma, Subdural, Chronic
1716	Melkersson-Rosenthal Syndrome
1717	Anxiety, Separation
1718	Hamartoma
1719	Calcinosis
1720	Hematoma
1721	Picornaviridae Infections
1722	Dysentery, Bacillary
1723	Heavy Chain Disease
1724	Paraganglioma, Extra-Adrenal
1725	Intussusception
1726	Breast Neoplasms
1727	Hallux Valgus
1728	Multiple Trauma
1729	Hydatidiform Mole
1730	Cardiomyopathy, Hypertrophic
1731	Fetal Death
1732	Ischemia
1733	Escherichia coli Infections
1734	Tetany
1735	Child Behavior Disorders
1736	Optic Atrophy, Autosomal Dominant
1737	Fetal Hypoxia
1738	Paratyphoid Fever
1739	Cystitis
1740	Salivary Gland Neoplasms
1741	Neurodegenerative Diseases
1742	Hysteria
1743	Tibial Fractures
1744	Strabismus
1745	Hepatitis B, Chronic
1746	Endomyocardial Fibrosis
1747	Cardiac Complexes, Premature
1748	Cholangitis
1749	Hemangioma, Cavernous
1750	Foreign Bodies
1751	Vertebrobasilar Insufficiency
1752	Sleep Initiation and Maintenance Disorders
1753	Chagas Cardiomyopathy
1754	Tuberculosis
1755	Hernia, Diaphragmatic
1756	Rectal Diseases
1757	Paraparesis, Tropical Spastic
1758	Megacolon
1759	Color Vision Defects
1760	Shock, Cardiogenic
1761	Colonic Pseudo-Obstruction
1762	Dysarthria
1763	Brugada Syndrome
1764	Cumulative Trauma Disorders
1765	Vitamin K Deficiency
1766	Retroviridae Infections
1767	Gastrointestinal Neoplasms
1768	Bone Diseases, Developmental
1769	Aphasia, Wernicke
1770	Paratuberculosis
1771	Drowning
1772	Machado-Joseph Disease
1773	Raynaud Disease
1774	Maxillary Fractures
1775	Connective Tissue Diseases
1776	Vitreoretinopathy, Proliferative
1777	Lymphangioma, Cystic
1778	Coccidioidomycosis
1779	Lung Injury
1780	Retrognathism
1781	Echolalia
1782	Encephalitis
1783	Cataract
1784	Myoclonus
1785	Bacteriuria
1786	Respiratory Tract Neoplasms
1787	Inflammatory Bowel Diseases
1788	Angioedema
1789	Herpes Zoster Oticus
1790	Vulvitis
1791	Cryptococcosis
1792	Uterine Neoplasms
1793	Multiple Sclerosis, Relapsing-Remitting
1794	Somatoform Disorders
1795	Severe Combined Immunodeficiency
1796	Abortion, Habitual
1797	Meningococcal Infections
1798	Hematemesis
1799	Autonomic Nervous System Diseases
1800	Proteinuria
1801	Mycotoxicosis
1802	Gas Poisoning
1803	Ventricular Dysfunction, Left
1804	Skin Diseases, Vesiculobullous
1805	Scrapie
1806	Usher Syndromes
1807	Spina Bifida Occulta
1808	Bird Fancier's Lung
1809	Albuminuria
1810	Cellulitis
1811	Communicable Diseases
1812	Stomach Ulcer
1813	Menorrhagia
1814	Coxsackievirus Infections
1815	Liver Cirrhosis, Experimental
1816	Paraneoplastic Polyneuropathy
1817	Osteoarthritis, Hip
1818	Agnosia
1819	Mitral Valve Stenosis
1820	Shoulder Fractures
1821	Tricuspid Valve Insufficiency
1822	Hemarthrosis
1823	Hernia, Diaphragmatic, Traumatic
1824	Neuromuscular Diseases
1825	Seizures, Febrile
1826	Lateral Sinus Thrombosis
1827	Hemianopsia
1828	Esophagitis
1829	Myocardial Stunning
1830	Carcinoma, Squamous Cell
1831	Giardiasis
1832	Myocardial Reperfusion Injury
1833	Hypertrophy, Left Ventricular
1834	Post-Traumatic Headache
1835	Periodontal Diseases
1836	Hydrocephalus, Normal Pressure
1837	Myositis, Inclusion Body
1838	Hemangioendothelioma, Epithelioid
1839	Stress Disorders, Post-Traumatic
1840	Chorioamnionitis
1841	Infertility, Female
1842	Facial Injuries
1843	Myelinolysis, Central Pontine
1844	Maple Syrup Urine Disease
1845	Eye Foreign Bodies
1846	Dental Pulp Necrosis
1847	Finger Injuries
1848	Conjunctivitis
1849	Dissociative Disorders
1850	Disorders of Excessive Somnolence
1851	Urticaria Pigmentosa
1852	Graft vs Host Disease
1853	Malignant Carcinoid Syndrome
1854	Carotid Artery, Internal, Dissection
1855	Tooth Diseases
1856	Leukemia, Promyelocytic, Acute
1857	Celiac Disease
1858	Babesiosis
1859	Choledochal Cyst
1860	Urethral Diseases
1861	Pregnancy, Tubal
1862	Mucopolysaccharidosis IV
1863	Myofascial Pain Syndromes
1864	Hypertension
1865	Diseases in Twins
1866	Glomerulonephritis, IGA
1867	Body Dysmorphic Disorders
1868	Camurati-Engelmann Syndrome
1869	Endocarditis, Bacterial
1870	Peripheral Arterial Disease
1871	Arthritis, Experimental
1872	Bacteremia
1873	Lymphangioma
1874	Urinary Calculi
1875	Trichuriasis
1876	Peritoneal Neoplasms
1877	Mouth, Edentulous
1878	Myelitis, Transverse
1879	Pituitary Apoplexy
1880	Foot Diseases
1881	Decerebrate State
1882	Kidney Failure, Chronic
1883	Dermatitis, Atopic
1884	Radial Neuropathy
1885	Ventricular Dysfunction
1886	Nephrosclerosis
1887	Angina Pectoris, Variant
1888	Bone Marrow Diseases
1889	Sarcoma, Experimental
1890	Cross Infection
1891	Pharyngeal Neoplasms
1892	Fistula
1893	Diverticulosis, Esophageal
1894	Meige Syndrome
1895	Farmer's Lung
1896	Fabry Disease
1897	Radiation Injuries
1898	Bacterial Infections
1899	Heart Diseases
1900	Ileal Neoplasms
1901	Urination Disorders
1902	Toxocariasis
1903	Ataxia
1904	Purpura, Thrombocytopenic
1905	Thoracic Outlet Syndrome
1906	Hereditary Sensory and Autonomic Neuropathies
1907	Fissure in Ano
1908	Cerebellar Ataxia
1909	Thyroiditis
1910	Obesity
1911	Exfoliation Syndrome
1912	Chondromatosis, Synovial
1913	Hematuria
1914	Hyperammonemia
1915	Pelvic Inflammatory Disease
1916	Hearing Loss, Sudden
1917	Tympanic Membrane Perforation
1918	Sialorrhea
1919	Asthma
1920	Pulmonary Atresia
1921	Lymphoma, Follicular
1922	Myositis
1923	Nephrosis, Lipoid
1924	Muscular Dystrophy, Facioscapulohumeral
1925	Polyuria
1926	Hyperopia
1927	Iron Overload
1928	Dyskinesias
1929	Mastocytosis
1930	Temporomandibular Joint Dysfunction Syndrome
1931	Leprosy, Lepromatous
1932	Pregnancy Complications, Cardiovascular
1933	Skin Diseases, Infectious
1934	Thymoma
1935	Meningitis, Viral
1936	Factor V Deficiency
1937	Central Nervous System Neoplasms
1938	Hodgkin Disease
1939	Peritonitis, Tuberculous
1940	Blood Group Incompatibility
1941	Cardiomyopathy, Dilated
1942	Atrophy
1943	Hypesthesia
1944	Protein S Deficiency
1945	Homocystinuria
1946	Arachnidism
1947	Hyperbilirubinemia
1948	Leukodystrophy, Globoid Cell
1949	Hearing Loss, Mixed Conductive-Sensorineural
1950	Prediabetic State
1951	Vasospasm, Intracranial
1952	Fractures, Stress
1953	Trigeminal Nerve Diseases
1954	Adenocarcinoma, Papillary
1955	Reye Syndrome
1956	Rosacea
1957	Nasal Obstruction
1958	Trichinellosis
1959	Tooth Avulsion
1960	Parathyroid Neoplasms
1961	Hashimoto Disease
1962	Central Nervous System Cysts
1963	Hernia, Hiatal
1964	Hemangiosarcoma
1965	Epididymitis
1966	Situs Inversus
1967	Granular Cell Tumor
1968	Neuromyelitis Optica
1969	Sexually Transmitted Diseases
1970	Language Development Disorders
1971	Migraine Disorders
1972	Osteoma
1973	Dysthymic Disorder
1974	Rhinitis, Allergic, Perennial
1975	Food Hypersensitivity
1976	Epilepsy, Complex Partial
1977	Arteriovenous Fistula
1978	Tuberculosis, Lymph Node
1979	Pelvic Neoplasms
1980	Cranial Nerve Injuries
1981	Gastrointestinal Stromal Tumors
1982	Huntington Disease
1983	Toxoplasmosis, Cerebral
1984	Carcinoma, Transitional Cell
1985	Urinary Retention
1986	Neoplasms, Multiple Primary
1987	Epilepsy, Reflex
1988	Brain Diseases, Metabolic
1989	Vulvar Neoplasms
1990	Stomach Rupture
1991	Nematode Infections
1992	Lysosomal Storage Diseases
1993	Serotonin Syndrome
1994	Brown-Sequard Syndrome
1995	Toxoplasmosis, Animal
1996	Genetic Predisposition to Disease
1997	Pneumothorax
1998	Duane Retraction Syndrome
1999	Hirsutism
2000	Dermatomyositis
2001	Anemia, Sideroblastic
2002	Plaque, Atherosclerotic
2003	Puberty, Delayed
2004	Orbital Pseudotumor
2005	Foodborne Diseases
2006	Arthritis, Rheumatoid
2007	Sinus Thrombosis, Intracranial
2008	Thyrotoxicosis
2009	Infection
2010	Isaacs Syndrome
2011	Deglutition Disorders
2012	Urinary Tract Infections
2013	Dystocia
2014	Syndactyly
2015	Adjustment Disorders
2016	Burns
2017	Croup
2018	Astigmatism
2019	Anemia, Hemolytic, Congenital
2020	Headache
2021	Equinus Deformity
2022	Brain Diseases, Metabolic, Inborn
2023	Rhinoscleroma
2024	Schizophrenia
2025	Confusion
2026	Adenoma, Pleomorphic
2027	Osteochondrodysplasias
2028	Spinal Cord Neoplasms
2029	Kidney Diseases, Cystic
2030	Hip Dislocation, Congenital
2031	Arrhythmia, Sinus
2032	Femoral Neuropathy
2033	Scrub Typhus
2034	Bronchial Diseases
2035	Hemiplegia
2036	Colorectal Neoplasms
2037	Stomatitis, Aphthous
2038	Cavernous Sinus Thrombosis
2039	Ovarian Neoplasms
2040	Tinnitus
2041	Paralysis
2042	Pancreatic Neoplasms
